Image_name,CaMKII_total_count,CaMKII_antiGABA_colabel_count
CaMKII_validation_PV.GABA.DAPI_20x_1,7,1
CaMKII_validation_PV.GABA.DAPI_20x_2,3,0
CaMKII_validation_PV.GABA.DAPI_20x_3,4,0
CaMKII_validation_PV.GABA.DAPI_20x_4,1,0
CaMKII_validation_PV.GABA.DAPI_20x_5,6,0
CaMKII_validation_PV.GABA.DAPI_20x_6,7,2
CaMKII_validation_PV.GABA.DAPI_20x_7,1,0
CaMKII_validation_PV.GABA.DAPI_20x_8,2,0
CaMKII_validation_PV.GABA.DAPI_20x_9,3,0
CaMKII_validation_PV.GABA.DAPI_20x_10,0,0
,,
Image_name,GAD_total,GAD_antiCaMKII_colabel_count
GAD1_validation_CaMKII_ARO_20x_1,15,0
GAD1_validation_CaMKII_ARO_20x_2,6,0
GAD1_validation_CaMKII_ARO_20x_3,1,1
GAD1_validation_CaMKII_ARO_20x_4,4,2
GAD1_validation_CaMKII_ARO_20x_5,5,1
GAD1_validation_CaMKII_ARO_20x_6,18,0
