Unit_ID,Treatment,PeakToTrough_ms,Stimulus,Trial,Period,FR_Hz
80719_site1_cluster178,laserOff,0.133333333,2LG R740,1,Baseline,24
80719_site1_cluster178,laserOff,0.133333333,2LG R740,1,Stimulus,8
80719_site1_cluster178,laserOff,0.133333333,2LG R740,2,Baseline,6
80719_site1_cluster178,laserOff,0.133333333,2LG R740,2,Stimulus,22
80719_site1_cluster178,laserOff,0.133333333,2LG R740,3,Baseline,2
80719_site1_cluster178,laserOff,0.133333333,2LG R740,3,Stimulus,6
80719_site1_cluster178,laserOff,0.133333333,2LG R740,4,Baseline,10
80719_site1_cluster178,laserOff,0.133333333,2LG R740,4,Stimulus,18
80719_site1_cluster178,laserOff,0.133333333,2LG R740,5,Baseline,4
80719_site1_cluster178,laserOff,0.133333333,2LG R740,5,Stimulus,20
80719_site1_cluster178,laserOff,0.133333333,37_December_05_2007_06_14_04_filtered,6,Baseline,12
80719_site1_cluster178,laserOff,0.133333333,37_December_05_2007_06_14_04_filtered,6,Stimulus,16
80719_site1_cluster178,laserOff,0.133333333,37_December_05_2007_06_14_04_filtered,7,Baseline,2
80719_site1_cluster178,laserOff,0.133333333,37_December_05_2007_06_14_04_filtered,7,Stimulus,12
80719_site1_cluster178,laserOff,0.133333333,37_December_05_2007_06_14_04_filtered,8,Baseline,6
80719_site1_cluster178,laserOff,0.133333333,37_December_05_2007_06_14_04_filtered,8,Stimulus,8
80719_site1_cluster178,laserOff,0.133333333,37_December_05_2007_06_14_04_filtered,9,Baseline,0
80719_site1_cluster178,laserOff,0.133333333,37_December_05_2007_06_14_04_filtered,9,Stimulus,16
80719_site1_cluster178,laserOff,0.133333333,37_December_05_2007_06_14_04_filtered,10,Baseline,12
80719_site1_cluster178,laserOff,0.133333333,37_December_05_2007_06_14_04_filtered,10,Stimulus,10
80719_site1_cluster178,laserOff,0.133333333,DB32,11,Baseline,6
80719_site1_cluster178,laserOff,0.133333333,DB32,11,Stimulus,2
80719_site1_cluster178,laserOff,0.133333333,DB32,12,Baseline,6
80719_site1_cluster178,laserOff,0.133333333,DB32,12,Stimulus,8
80719_site1_cluster178,laserOff,0.133333333,DB32,13,Baseline,4
80719_site1_cluster178,laserOff,0.133333333,DB32,13,Stimulus,12
80719_site1_cluster178,laserOff,0.133333333,DB32,14,Baseline,4
80719_site1_cluster178,laserOff,0.133333333,DB32,14,Stimulus,12
80719_site1_cluster178,laserOff,0.133333333,DB32,15,Baseline,12
80719_site1_cluster178,laserOff,0.133333333,DB32,15,Stimulus,6
80719_site1_cluster178,laserOff,0.133333333,LG69,16,Baseline,10
80719_site1_cluster178,laserOff,0.133333333,LG69,16,Stimulus,18
80719_site1_cluster178,laserOff,0.133333333,LG69,17,Baseline,2
80719_site1_cluster178,laserOff,0.133333333,LG69,17,Stimulus,6
80719_site1_cluster178,laserOff,0.133333333,LG69,18,Baseline,30
80719_site1_cluster178,laserOff,0.133333333,LG69,18,Stimulus,14
80719_site1_cluster178,laserOff,0.133333333,LG69,19,Baseline,2
80719_site1_cluster178,laserOff,0.133333333,LG69,19,Stimulus,20
80719_site1_cluster178,laserOff,0.133333333,LG69,20,Baseline,2
80719_site1_cluster178,laserOff,0.133333333,LG69,20,Stimulus,24
80719_site1_cluster192,laserOff,0.133333333,2LG R740,1,Baseline,54
80719_site1_cluster192,laserOff,0.133333333,2LG R740,1,Stimulus,64
80719_site1_cluster192,laserOff,0.133333333,2LG R740,2,Baseline,54
80719_site1_cluster192,laserOff,0.133333333,2LG R740,2,Stimulus,72
80719_site1_cluster192,laserOff,0.133333333,2LG R740,3,Baseline,48
80719_site1_cluster192,laserOff,0.133333333,2LG R740,3,Stimulus,58
80719_site1_cluster192,laserOff,0.133333333,2LG R740,4,Baseline,52
80719_site1_cluster192,laserOff,0.133333333,2LG R740,4,Stimulus,86
80719_site1_cluster192,laserOff,0.133333333,2LG R740,5,Baseline,52
80719_site1_cluster192,laserOff,0.133333333,2LG R740,5,Stimulus,86
80719_site1_cluster192,laserOff,0.133333333,37_December_05_2007_06_14_04_filtered,6,Baseline,66
80719_site1_cluster192,laserOff,0.133333333,37_December_05_2007_06_14_04_filtered,6,Stimulus,58
80719_site1_cluster192,laserOff,0.133333333,37_December_05_2007_06_14_04_filtered,7,Baseline,62
80719_site1_cluster192,laserOff,0.133333333,37_December_05_2007_06_14_04_filtered,7,Stimulus,72
80719_site1_cluster192,laserOff,0.133333333,37_December_05_2007_06_14_04_filtered,8,Baseline,36
80719_site1_cluster192,laserOff,0.133333333,37_December_05_2007_06_14_04_filtered,8,Stimulus,68
80719_site1_cluster192,laserOff,0.133333333,37_December_05_2007_06_14_04_filtered,9,Baseline,30
80719_site1_cluster192,laserOff,0.133333333,37_December_05_2007_06_14_04_filtered,9,Stimulus,68
80719_site1_cluster192,laserOff,0.133333333,37_December_05_2007_06_14_04_filtered,10,Baseline,68
80719_site1_cluster192,laserOff,0.133333333,37_December_05_2007_06_14_04_filtered,10,Stimulus,74
80719_site1_cluster192,laserOff,0.133333333,DB32,11,Baseline,32
80719_site1_cluster192,laserOff,0.133333333,DB32,11,Stimulus,62
80719_site1_cluster192,laserOff,0.133333333,DB32,12,Baseline,62
80719_site1_cluster192,laserOff,0.133333333,DB32,12,Stimulus,62
80719_site1_cluster192,laserOff,0.133333333,DB32,13,Baseline,54
80719_site1_cluster192,laserOff,0.133333333,DB32,13,Stimulus,92
80719_site1_cluster192,laserOff,0.133333333,DB32,14,Baseline,66
80719_site1_cluster192,laserOff,0.133333333,DB32,14,Stimulus,66
80719_site1_cluster192,laserOff,0.133333333,DB32,15,Baseline,56
80719_site1_cluster192,laserOff,0.133333333,DB32,15,Stimulus,80
80719_site1_cluster192,laserOff,0.133333333,LG69,16,Baseline,44
80719_site1_cluster192,laserOff,0.133333333,LG69,16,Stimulus,62
80719_site1_cluster192,laserOff,0.133333333,LG69,17,Baseline,44
80719_site1_cluster192,laserOff,0.133333333,LG69,17,Stimulus,56
80719_site1_cluster192,laserOff,0.133333333,LG69,18,Baseline,12
80719_site1_cluster192,laserOff,0.133333333,LG69,18,Stimulus,38
80719_site1_cluster192,laserOff,0.133333333,LG69,19,Baseline,54
80719_site1_cluster192,laserOff,0.133333333,LG69,19,Stimulus,70
80719_site1_cluster192,laserOff,0.133333333,LG69,20,Baseline,50
80719_site1_cluster192,laserOff,0.133333333,LG69,20,Stimulus,72
80719_site1_cluster282,laserOff,0.266666667,2LG R740,1,Baseline,2
80719_site1_cluster282,laserOff,0.266666667,2LG R740,1,Stimulus,16
80719_site1_cluster282,laserOff,0.266666667,2LG R740,2,Baseline,4
80719_site1_cluster282,laserOff,0.266666667,2LG R740,2,Stimulus,18
80719_site1_cluster282,laserOff,0.266666667,2LG R740,3,Baseline,14
80719_site1_cluster282,laserOff,0.266666667,2LG R740,3,Stimulus,16
80719_site1_cluster282,laserOff,0.266666667,2LG R740,4,Baseline,4
80719_site1_cluster282,laserOff,0.266666667,2LG R740,4,Stimulus,8
80719_site1_cluster282,laserOff,0.266666667,2LG R740,5,Baseline,6
80719_site1_cluster282,laserOff,0.266666667,2LG R740,5,Stimulus,22
