Fr,ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16,ch17,ch18,ch19,ch20,ch21,ch22,ch23,ch24,ch25,ch26,ch27,ch28,ch29,ch30,ch31, site4ch0 , site4ch1 , site4ch2 , site4ch3 , site4ch4 , site4ch5 , site4ch6 , site4ch7 , site4ch8 , site4ch9 , site4ch10 , site4ch11 , site4ch12 , site4ch13 , site4ch14 , site4ch15 , site4ch16 , site4ch17 , site4ch18 , site4ch19 , site4ch20 , site4ch21 , site4ch22 , site4ch23 , site4ch24 , site4ch25 , site4ch26 , site4ch27 , site4ch28 , site4ch29 , site4ch30 , site4ch31 
0,8243.706553,9148.680208,6766.912593,7785.110803,10550.71896,5928.311523,14422.31539,8918.512941,8550.58423,7374.70981,8307.404641,7320.87647,8041.026164,7707.9562,6377.30615,6038.826547,6266.818905,6227.695894,4751.701666,5958.48357,6522.596837,6599.81009,7497.782054,15042.37265,19995.90986,8998.263941,7516.191202,9331.51614,8700.084707,6511.78524,5762.843043,8809.413654,214.132902,220.762062,270.8172505,278.0258648,148.2889348,254.7801492,159.0817922,183.9147816,252.4739171,346.5233433,256.0011425,247.78863,248.4748323,229.5840358,245.3387544,334.6097623,104.3946972,304.6327162,129.5323227,313.6545473,306.643541,226.4132128,289.7985784,407.5657728,220.193083,129.4814906,173.1532161,243.8757285,104.5768346,152.643253,117.9421375,103.152014
1,42032.87166,44914.31601,34236.0324,43541.46699,43886.57211,33700.48381,48992.47868,44111.88906,46137.39228,37607.94035,41367.13732,40725.98461,39231.86763,41886.06572,35734.09849,35359.68367,29308.11324,33621.07658,28205.37824,34388.75251,35444.05062,37751.03021,42184.60018,59820.33534,86331.78353,54535.1325,37665.281,48383.00414,48852.1039,35532.81116,29173.93697,44947.44955,1273.149172,1221.026572,1476.409985,1366.363352,2746.723549,1294.698712,4794.953383,1691.596219,1764.192274,1777.339104,1219.119691,1412.362321,1726.976126,1660.086919,1256.180097,1156.601521,526.4886723,1572.973763,1143.492294,3406.589322,1713.7517,2676.111497,2114.797823,3145.24542,2498.366766,1937.572991,1128.191595,1750.688071,2270.51048,1429.066827,1527.329293,1919.99855
2,44964.18128,43460.89153,42369.3707,44171.12366,43801.26902,42063.95294,36674.80317,46291.9815,48459.80558,45343.62496,42539.90289,44938.1121,44984.91595,47613.43244,43489.27031,42544.12134,28251.22564,45237.45947,36790.05893,41947.9416,42895.57104,46322.52852,46513.26349,30552.30227,39321.70392,36694.89012,43196.12932,44019.84175,36318.47158,32763.70854,30410.91343,37578.72486,3434.872073,3447.437978,2880.913403,3235.045734,3862.192655,2944.193363,4041.549416,3340.060352,3390.813071,3482.447393,3201.044603,2972.778573,3510.357966,3007.04743,3062.038229,3071.905432,3289.77831,3450.1152,3476.842218,3512.652224,3291.082791,3608.398823,3303.614993,3734.913225,3400.701819,3454.515315,3318.132483,3485.880197,3207.144807,3012.28329,3240.384973,3311.760734
3,14825.9975,14297.92809,15484.65705,13452.62146,16768.11846,14437.31067,16756.04643,16348.87706,15092.41045,14851.52401,13444.21901,14196.62554,15334.0015,15563.05123,14317.73495,13779.25476,8782.328941,15337.63539,13017.38663,14212.01214,14023.99391,15604.29031,16230.45034,15297.25004,18493.89329,16128.16398,16021.38651,16417.15096,15510.35085,12468.96237,11762.86684,15509.66234,2435.977287,2483.679725,2225.800188,2519.701212,2351.304917,2296.754952,2242.712826,2497.366029,2231.505555,2303.038938,2339.539907,2160.448637,2503.966292,2122.455325,2212.733433,2314.800728,2628.046539,2524.933995,2609.770845,2114.217376,2236.698732,2160.745451,2296.315564,2650.940042,2224.737712,2359.864713,2448.485074,2376.975789,2200.858453,2185.446598,2037.694029,2421.878388
4,2198.045994,3167.229524,2647.782603,2396.910198,2445.490155,2240.764063,2345.812304,2148.535812,2309.216874,2156.78086,2856.544098,2220.085054,2140.020789,2418.437925,2065.051682,2045.986141,866.6946867,2015.769458,1745.553006,2008.586867,2195.422957,2783.106718,2645.934689,2563.092345,2733.241586,2192.034425,2676.631662,2374.210925,2108.306574,1444.576708,1441.987382,2086.6654,955.4660265,832.6225141,1286.688335,1048.749705,1258.188698,1200.526361,1228.388332,1218.481176,1088.896647,1125.869878,957.899677,1002.394897,1235.733595,1148.290767,1120.18366,1059.339466,1374.282321,1185.015799,1190.130247,1028.824001,1092.275591,1076.68078,1181.776936,1141.727169,1111.269832,1038.31122,1170.784218,1100.887149,1231.488053,1187.074984,925.0084366,1137.537983
5,1450.06464,2317.440659,1727.917074,1850.975376,1512.924176,1557.073702,1340.144647,1537.420761,1918.714027,1471.511543,2295.831489,1564.387264,1496.897631,1729.713645,1485.541319,1495.489382,429.5605971,1559.055575,1350.826329,1400.613709,1695.724188,1951.264307,2200.40285,1787.346978,1729.052573,1491.58219,1734.07073,1697.032204,1422.545535,1075.913284,1043.052131,1538.88323,1492.338462,1461.669355,1573.640404,1506.326081,1518.470142,1615.099395,1597.908856,1494.90418,1384.199045,1483.211813,1541.905637,1569.066747,1567.997024,1563.723648,1595.276935,1654.141729,982.7309613,1363.455319,1386.574588,1450.772325,1326.574449,1484.728725,1431.457762,1498.250451,1591.793892,1621.385809,1694.203189,1530.336519,1883.206073,1646.413487,1364.033674,1630.92503
6,1403.574189,2075.335599,1503.27317,1736.01069,1450.367821,1395.669933,1464.48039,1483.294133,1418.121591,1181.574738,2013.285052,1325.732813,1239.330464,1469.924162,1197.01287,1233.783285,218.9281645,1314.910098,1185.655932,1197.953731,1302.117107,1629.712324,1833.020111,1682.814665,1846.860514,1744.037572,1839.685945,1793.325767,1784.592596,1165.196172,1157.624245,1900.525173,2035.373005,2201.620725,1956.121713,2196.584188,1943.032069,2051.501928,1920.055238,1889.914954,1754.555775,1911.217195,2394.896419,1990.29971,1864.159117,1981.473019,1915.210136,2056.348452,702.0925403,1731.642376,1617.527916,1827.158259,1816.849003,2022.874855,2153.210519,2116.57572,2041.407757,2083.331337,1928.662408,1880.941284,2138.233225,1753.915901,1498.654151,2020.192344
7,1154.723451,1683.436167,1040.104169,1382.222775,1040.23573,1024.680976,1016.497549,1131.888741,1092.043815,839.7176385,1716.317401,1039.616078,874.5294199,1137.262292,923.4859677,996.027682,162.3451753,915.8625018,822.6655083,901.1041485,954.2654144,1226.466937,1394.861468,1255.763056,1433.170849,1453.80822,1452.252844,1429.754436,1557.632364,1031.549925,1022.738879,1501.632157,1324.487224,1495.598859,1277.18668,1368.308644,1267.865975,1283.108282,1269.805014,1216.66696,1269.332963,1272.193663,1638.491729,1297.309218,1267.404159,1333.735113,1262.223578,1355.027201,459.7738434,1169.313112,1182.784541,1237.926192,1296.214566,1461.525872,1607.515698,1485.311064,1343.299176,1304.479669,1155.64041,1212.696419,1198.634917,1041.352754,946.9132067,1156.436924
8,793.6104619,1082.90496,614.2845359,939.1854073,627.248899,650.408634,672.3360609,774.228938,665.7628805,502.5069071,1051.475763,672.2455801,579.1949826,684.8196438,573.0127105,687.0339452,108.4835091,523.326774,427.4576024,535.4840304,573.6571273,708.9463666,828.7756416,768.0442966,865.0752447,1018.625206,911.8432074,941.3793183,1145.231332,847.863917,749.9825654,1062.858594,740.9896291,900.821142,752.0860142,803.0300779,703.9503359,687.9642278,688.5477763,618.2177644,797.8398101,706.71768,972.1567366,703.9997882,732.3596852,793.2102076,711.5829842,748.3716809,233.3610362,699.4027056,683.6481135,658.7190758,715.6535559,846.9331775,937.0009805,892.4441431,768.6177127,686.2366604,666.1950692,714.5030542,615.2423304,539.0940054,496.7519845,605.5541308
9,795.1472349,1113.03557,674.7444813,915.4034751,638.6743033,696.9826693,677.0133708,763.3129369,679.8760355,567.168197,959.2108725,709.3842112,635.3309867,719.5335902,622.8774759,726.4013816,98.76044781,568.728864,469.7744902,586.687428,631.0563271,702.2943865,796.5974843,743.5767342,853.8962457,904.701401,887.3168835,888.2956356,962.4145758,780.5141664,682.6770887,905.1571801,639.8083002,874.4041546,677.3688657,780.3227312,645.1380013,629.7212439,612.0448547,615.1474668,667.6768829,573.1304404,882.6879918,634.9485897,642.5239327,666.0116828,626.1371086,666.2977697,137.6492928,617.0532301,584.1567118,596.5741446,596.2502757,651.3821408,680.4191901,686.2660093,730.2001227,673.9977508,694.6966713,682.1955806,712.7893357,605.8987366,564.7956007,685.591624
