Fr,ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16,ch17,ch18,ch19,ch20,ch21,ch22,ch23,ch24,ch25,ch26,ch27,ch28,ch29,ch30,ch31, ch0 , ch1 , ch2 , ch3 , ch4 , ch5 , ch6 , ch7 , ch8 , ch9 , ch10 , ch11 , ch12 , ch13 , ch14 , ch15 , ch16 , ch17 , ch18 , ch19 , ch20 , ch21 , ch22 , ch23 , ch24 , ch25 , ch26 , ch27 , ch28 , ch29 , ch30 , ch31 
0,449.876528,408.6532144,433.1737307,602.1727401,477.4107256,385.2105452,359.3041518,465.08617,241.8951523,309.3382318,316.980001,363.9920003,311.6986243,346.8055658,329.804008,428.2463732,166.3937874,334.0098731,257.8971274,331.2020133,247.8525882,392.9178584,296.9432398,153.4847673,806.5320855,605.7013841,809.838592,761.2605348,672.4636472,622.5063155,523.8128749,810.8457459,449.876528,408.6532144,433.1737307,602.1727401,477.4107256,385.2105452,359.3041518,465.08617,241.8951523,309.3382318,316.980001,363.9920003,311.6986243,346.8055658,329.804008,428.2463732,166.3937874,334.0098731,257.8971274,331.2020133,247.8525882,392.9178584,296.9432398,153.4847673,806.5320855,605.7013841,809.838592,761.2605348,672.4636472,622.5063155,523.8128749,810.8457459
1,11131.99625,10939.10435,10013.82994,10722.5596,11615.8425,8955.574388,10068.49152,11700.73423,11281.73882,10232.29585,10769.51185,10330.82934,11006.84677,10895.29581,10055.2622,9472.113173,6969.563723,10163.45392,8877.464981,10936.37638,9291.044563,11984.14458,10927.05894,7674.578475,11375.6954,10839.25526,12047.83445,12194.81711,12136.68122,9362.680511,8685.456131,12266.5157,11131.99625,10939.10435,10013.82994,10722.5596,11615.8425,8955.574388,10068.49152,11700.73423,11281.73882,10232.29585,10769.51185,10330.82934,11006.84677,10895.29581,10055.2622,9472.113173,6969.563723,10163.45392,8877.464981,10936.37638,9291.044563,11984.14458,10927.05894,7674.578475,11375.6954,10839.25526,12047.83445,12194.81711,12136.68122,9362.680511,8685.456131,12266.5157
2,14885.54044,15597.45229,12597.79515,13877.39377,15069.19608,12152.05735,13239.92261,14750.69438,15141.50912,13958.73416,15215.34426,13844.74783,14576.28698,14657.11489,13104.27498,12633.89517,7590.398518,12817.14494,12274.23177,12915.69634,13183.86152,15324.15784,14580.94503,12759.60647,14690.2567,14369.29236,15066.50018,15077.97672,15074.28581,12237.28292,11281.88687,15065.47045,14885.54044,15597.45229,12597.79515,13877.39377,15069.19608,12152.05735,13239.92261,14750.69438,15141.50912,13958.73416,15215.34426,13844.74783,14576.28698,14657.11489,13104.27498,12633.89517,7590.398518,12817.14494,12274.23177,12915.69634,13183.86152,15324.15784,14580.94503,12759.60647,14690.2567,14369.29236,15066.50018,15077.97672,15074.28581,12237.28292,11281.88687,15065.47045
3,6275.028364,7446.506296,5803.152791,5952.923476,5790.869664,5534.663623,5414.226919,5437.814292,5516.896736,4887.296057,5818.46437,5257.348832,5351.584216,5342.258991,4994.27124,4774.751103,3012.394313,4566.899149,4611.762944,5013.74078,4813.703086,5510.0173,4990.991717,4940.355491,7112.490083,7001.142943,6896.264213,7033.984907,6813.158064,5217.660022,5404.976885,6962.290592,6275.028364,7446.506296,5803.152791,5952.923476,5790.869664,5534.663623,5414.226919,5437.814292,5516.896736,4887.296057,5818.46437,5257.348832,5351.584216,5342.258991,4994.27124,4774.751103,3012.394313,4566.899149,4611.762944,5013.74078,4813.703086,5510.0173,4990.991717,4940.355491,7112.490083,7001.142943,6896.264213,7033.984907,6813.158064,5217.660022,5404.976885,6962.290592
4,7650.98418,9113.198842,6383.604798,7901.473047,6449.144494,6637.825746,6596.75197,7092.591844,6619.370046,5851.482505,8133.975054,6650.203972,6536.24398,6650.821879,6422.5556,7320.811612,2727.000041,6307.788554,5605.291714,5792.43701,6113.086649,6292.656908,5739.319397,6459.65379,7781.694151,8590.004516,7952.752838,8048.62897,8138.006913,6720.82994,6544.028373,8272.458372,7650.98418,9113.198842,6383.604798,7901.473047,6449.144494,6637.825746,6596.75197,7092.591844,6619.370046,5851.482505,8133.975054,6650.203972,6536.24398,6650.821879,6422.5556,7320.811612,2727.000041,6307.788554,5605.291714,5792.43701,6113.086649,6292.656908,5739.319397,6459.65379,7781.694151,8590.004516,7952.752838,8048.62897,8138.006913,6720.82994,6544.028373,8272.458372
5,25911.32918,29866.59346,24325.43737,27151.86657,23668.33243,24530.02068,24631.89113,23412.60472,23317.43576,22506.73916,27126.28713,23160.41349,22662.23582,24549.28465,22355.14588,23663.35435,6097.074589,23124.25764,19469.56073,21682.98851,22220.17094,23623.85417,23766.02425,24049.69147,30507.28578,28548.95939,29522.41054,28952.61186,26707.67191,21645.68031,21627.13343,27455.40863,25911.32918,29866.59346,24325.43737,27151.86657,23668.33243,24530.02068,24631.89113,23412.60472,23317.43576,22506.73916,27126.28713,23160.41349,22662.23582,24549.28465,22355.14588,23663.35435,6097.074589,23124.25764,19469.56073,21682.98851,22220.17094,23623.85417,23766.02425,24049.69147,30507.28578,28548.95939,29522.41054,28952.61186,26707.67191,21645.68031,21627.13343,27455.40863
6,17330.76557,18850.15745,16788.15944,18023.2763,16498.99154,17223.50906,17213.15529,16081.4638,16412.01943,15900.78548,17697.19685,16122.64198,16003.54707,17027.36225,15823.93277,16402.03923,5890.411683,16391.12358,14420.17903,15549.31022,16040.68693,16876.98114,17855.70071,17261.39586,20132.65783,19159.42382,19509.88123,18895.91497,18380.55783,15493.68361,15223.25093,18480.84458,17330.76557,18850.15745,16788.15944,18023.2763,16498.99154,17223.50906,17213.15529,16081.4638,16412.01943,15900.78548,17697.19685,16122.64198,16003.54707,17027.36225,15823.93277,16402.03923,5890.411683,16391.12358,14420.17903,15549.31022,16040.68693,16876.98114,17855.70071,17261.39586,20132.65783,19159.42382,19509.88123,18895.91497,18380.55783,15493.68361,15223.25093,18480.84458
7,5140.741938,5229.314069,5518.683473,5071.018299,5708.322569,5783.708934,5697.288052,5256.763343,5782.473126,6012.561403,5780.599134,5720.507825,5883.08306,6081.168836,5911.735846,5827.275684,4535.981421,6100.034535,6106.486647,5870.103475,6198.737133,6199.148868,6511.560714,6349.036546,5507.984896,4809.862945,5108.88071,5058.917125,4511.711687,4127.027446,4194.56182,4506.669796,5140.741938,5229.314069,5518.683473,5071.018299,5708.322569,5783.708934,5697.288052,5256.763343,5782.473126,6012.561403,5780.599134,5720.507825,5883.08306,6081.168836,5911.735846,5827.275684,4535.981421,6100.034535,6106.486647,5870.103475,6198.737133,6199.148868,6511.560714,6349.036546,5507.984896,4809.862945,5108.88071,5058.917125,4511.711687,4127.027446,4194.56182,4506.669796
8,5159.386183,5479.965861,5310.319348,5196.817856,5469.864275,5321.422926,5477.310062,5211.309459,4747.091893,5062.249608,5176.392149,5030.331252,5134.286987,5278.569302,5068.670781,5179.038105,2346.689308,4991.025015,4725.082327,5076.521844,4974.015583,5021.057651,5032.574152,4886.314954,6197.916988,5657.628883,5961.615936,5717.513318,5512.016527,4596.760091,4470.755966,5631.543068,5159.386183,5479.965861,5310.319348,5196.817856,5469.864275,5321.422926,5477.310062,5211.309459,4747.091893,5062.249608,5176.392149,5030.331252,5134.286987,5278.569302,5068.670781,5179.038105,2346.689308,4991.025015,4725.082327,5076.521844,4974.015583,5021.057651,5032.574152,4886.314954,6197.916988,5657.628883,5961.615936,5717.513318,5512.016527,4596.760091,4470.755966,5631.543068
9,1178.110184,1371.752472,1184.089196,1213.061629,1227.926159,1177.877235,1227.021402,1158.046621,993.8844168,991.6708293,1128.991761,1012.654948,1031.477669,1083.250784,1011.735682,1077.577718,258.3110958,999.8708006,925.5547935,1070.146805,1017.384196,1091.233342,1156.296864,1070.281995,1599.484818,1491.712613,1570.124475,1474.031134,1478.441354,1140.061128,1095.55464,1478.134184,1178.110184,1371.752472,1184.089196,1213.061629,1227.926159,1177.877235,1227.021402,1158.046621,993.8844168,991.6708293,1128.991761,1012.654948,1031.477669,1083.250784,1011.735682,1077.577718,258.3110958,999.8708006,925.5547935,1070.146805,1017.384196,1091.233342,1156.296864,1070.281995,1599.484818,1491.712613,1570.124475,1474.031134,1478.441354,1140.061128,1095.55464,1478.134184
