Fr,ch0,ch1,ch2,ch3,ch4,ch5, site4ch0 , site4ch1 , site4ch2 , site4ch3 , site4ch4 , site4ch5 
0,1481.385281,1467.623817,1544.074846,1640.084226,1621.250223,1610.617199,1532.043052,1489.380167,1612.127793,1535.944661,1512.824181,1618.046295
1,4248.645694,4379.918239,4377.387409,4249.388804,4672.612485,4655.635179,5545.651504,5539.110408,5656.855513,5428.549506,5562.841261,5738.566475
2,7280.871982,6951.958492,7673.325402,7038.55096,7653.956009,7975.963794,9268.424075,9234.036216,9303.293249,9091.554773,9155.558782,9401.96786
3,3242.932298,2973.725488,3123.022981,2925.053897,3135.541969,3164.960747,5521.737991,5492.289332,5352.481658,5188.307034,5194.457216,5417.142559
4,2058.596447,1770.138629,1751.026506,1849.77554,1890.332609,1918.618707,2475.011834,2312.72091,2264.87634,2237.410169,2335.808986,2445.674824
5,1751.319902,1549.531038,1490.065438,1696.849945,1513.460365,1549.431893,2213.58198,2174.204608,2182.63637,2269.193547,2238.31917,2203.909621
6,2505.808931,2270.688627,2082.044767,2413.040334,2101.478617,2134.308317,1943.617217,1810.907279,1798.648781,1967.002422,1773.516231,1777.325182
7,2359.110214,2462.688154,2518.032718,2505.509478,2742.531929,2451.360449,1863.631359,2075.198924,2139.173092,2043.711143,2112.830715,2016.633355
8,1988.809319,2037.761682,2290.962576,2056.934313,2256.991286,2081.797971,2194.123649,2381.99354,2539.489222,2333.989144,2401.763795,2324.625085
9,515.0994007,591.6141691,584.8503386,538.2299051,544.317872,516.6278819,743.143946,771.4217623,782.5453941,746.3999225,799.037355,745.3471575
10,585.5765429,619.3353239,559.338334,570.8682284,513.1926597,519.7810863,620.0804981,626.001614,570.6789138,618.3086069,600.8505734,607.5302197
11,769.8981404,732.6192618,723.0029583,738.5933895,685.3834176,702.5579313,582.5506696,561.4399487,548.0977268,571.8266793,551.1434305,552.0586516
12,341.321165,303.2128644,335.5379405,319.8575045,312.9673645,316.2489423,303.1431151,286.5396897,308.1319228,297.4065375,297.1719494,288.1383408
13,45.66011385,56.98738556,52.04344244,51.44112433,51.41333272,47.25535472,61.88020809,69.56717466,68.46366252,65.75425217,68.61573937,62.24486979
14,76.68682188,84.43331613,78.88840613,80.62598083,84.58604069,80.79548899,45.41196658,50.07455471,46.8929318,47.13965794,50.71847194,48.04844724
15,2.775805765,3.776506931,2.846814821,3.310204933,3.090108708,3.501414009,1.731301115,2.193306661,1.757525432,2.060011961,1.909315859,2.111558963
16,4.655029032,4.941807556,3.833135518,4.283212248,3.318991536,5.259845501,13.50539452,13.7445758,13.20357149,14.2907523,11.87678435,14.89784149
17,8.471294765,8.51582658,8.515176958,8.067390728,9.03271395,10.8542853,20.99034711,19.96735289,20.73004772,21.85226976,21.28245503,24.06454338
18,22.75195007,23.84719249,27.0413273,23.51639511,26.32763539,26.77310864,26.90866002,25.32295714,28.03926532,25.47901641,29.06962588,28.18584795
19,42.60834822,42.32560929,51.53200425,38.9163439,43.36578216,48.37077272,32.61393707,28.94537407,35.70349201,26.79395784,32.22064691,34.69967357
