Fr,ch0,ch1,ch2,ch3,ch4,ch5, ch0 , ch1 , ch2 , ch3 , ch4 , ch5 
0,975.1241645,861.2075236,835.4292318,910.2518339,1004.421477,1008.801223,682.3389358,613.1254349,605.7682715,646.0445939,698.9983464,708.7837873
1,5907.972962,5873.74733,5840.625738,5783.101431,5837.249946,5938.394106,3562.666501,3587.481646,3553.130554,3576.426586,3522.304658,3643.153056
2,3840.284701,3527.772859,3612.765,3882.557513,3782.343276,3852.636637,3981.055928,3562.184023,3823.171431,4035.096188,3960.537676,3900.75588
3,5470.466271,5491.51697,5477.500902,5992.704099,5996.348813,5685.637998,5213.056268,5114.738679,5204.68194,5367.502399,5404.627404,5211.435741
4,3164.351134,3099.461614,3084.713332,3031.982971,3009.322881,3029.290722,4994.560004,5055.600513,4913.233415,4751.667157,4624.848984,5002.797612
5,3711.675539,3446.102784,3701.957396,3632.727628,3359.674918,3713.928428,4734.246524,4673.782851,4774.28653,4530.669775,4624.336717,4605.017231
6,1737.938267,1707.027917,1900.631156,1644.401925,1820.676315,1669.368447,1853.815561,1911.161262,2014.363423,1883.561912,2118.650314,1863.885576
7,1398.233216,1403.426951,1425.490792,1344.379517,1428.944898,1306.606785,2081.701127,2067.558288,2207.711102,2163.363325,2117.282097,1943.468968
8,825.7572403,791.7602428,846.6767392,766.2932196,906.1338016,826.2764944,1708.530788,1726.117284,1760.811347,1706.127923,1707.931779,1581.32775
9,1152.754942,1074.691569,1102.070792,1155.627653,1136.885567,1050.882948,1217.210363,1233.221411,1193.629636,1208.551503,1213.697174,1098.773858
10,609.1133957,661.3725008,628.8088275,624.2073397,641.3550916,625.7454604,946.6601272,968.6637828,915.8911738,947.9162565,960.6974524,925.1336012
11,270.3102534,299.9188823,261.6384692,283.4589259,265.7535088,267.6918308,710.4287067,726.0546292,670.7510195,715.400581,722.6019573,722.6993154
12,128.5636847,129.6934163,123.9227293,120.8434247,131.7753509,140.9769814,149.855194,152.4206821,138.210104,145.1661037,156.121117,162.0430817
13,29.47822308,33.50525104,33.17301062,31.86518146,31.8819452,37.38567672,26.74843325,32.96255395,27.07752103,28.72987713,27.39963338,30.66817983
14,7.259725476,8.320429857,7.906314488,8.372294519,7.630464501,8.520046224,13.65812691,15.47427409,12.99431661,13.77871936,13.24734842,13.5764578
15,2.561162364,2.737877085,2.323277886,2.492895134,2.245869675,2.432241555,9.293028581,9.245954357,9.296666262,9.003811506,9.438861259,9.553207695
16,19.91586109,18.95446287,17.66315662,21.33192415,18.76866172,21.39657659,26.38830886,26.72620604,26.26506876,27.55893715,26.4563402,29.77552106
17,41.15800169,37.08967933,34.85246384,44.29725967,40.7,45.12878276,55.11268212,49.69836982,51.20744301,56.75472954,51.76860957,60.73867095
18,34.84267386,38.52075339,34.90737687,33.89876707,31.56725682,32.98792113,74.76994974,73.44177213,73.71261732,71.33081401,70.02863814,71.5244007
19,54.39740041,48.72658821,45.27667705,46.30245581,48.54675149,52.25554929,128.1197757,124.2846993,120.9731917,120.8535292,126.3702414,113.8006882
