Fr,ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16,ch17,ch18,ch19,ch20,ch21,ch22,ch23,ch24,ch25,ch26,ch27,ch28,ch29,ch30,ch31, site4ch0 , site4ch1 , site4ch2 , site4ch3 , site4ch4 , site4ch5 , site4ch6 , site4ch7 , site4ch8 , site4ch9 , site4ch10 , site4ch11 , site4ch12 , site4ch13 , site4ch14 , site4ch15 , site4ch16 , site4ch17 , site4ch18 , site4ch19 , site4ch20 , site4ch21 , site4ch22 , site4ch23 , site4ch24 , site4ch25 , site4ch26 , site4ch27 , site4ch28 , site4ch29 , site4ch30 , site4ch31 
0,956.2406339,1215.587301,1140.075217,1035.304227,1248.848389,1178.33483,1129.510767,1224.059529,1151.867941,1003.127756,1112.322096,1191.713202,1176.428693,1133.681929,1154.093863,1260.396241,1161.789051,1114.791901,1305.513187,1066.994313,1164.889067,1125.172108,1141.621561,1258.554921,1197.153879,1132.941619,1164.030156,904.9809695,1260.154083,1187.278164,1106.026422,1258.645981,650.3493308,595.1451847,594.5855208,654.6123291,623.8043498,555.1462372,615.9225148,652.9226223,650.5915506,484.2908356,677.0741347,554.2093975,561.9926447,607.3761672,676.7217235,574.1126501,617.0099512,564.6273815,642.938944,550.286347,610.3442078,668.170484,574.7759286,686.2889573,550.2297616,616.6063461,672.8578519,698.9170893,575.9000822,598.9663624,585.5048416,616.0701209
1,13167.21693,13639.037,13243.69961,13443.95481,13474.82107,13143.61783,13149.52427,13700.07529,13364.46671,13076.55408,13092.01219,13620.07891,13519.02764,12754.05901,13005.15651,13580.906,13129.81612,13364.40451,13485.43953,13422.95917,12987.45975,12837.89646,13788.95101,13614.01561,13149.49192,13164.60902,13792.2545,12407.6671,13060.19424,12798.7726,13449.74555,13788.72046,4714.43285,4918.851094,4449.406353,4654.594059,4654.066281,4813.635557,5001.935099,4742.731519,4377.237785,4339.259312,4417.65685,4577.968748,4871.393925,4560.172982,4874.364678,4458.684327,4815.566988,4440.369692,4923.569956,4325.036496,4963.47059,5029.627353,4564.176534,4819.801004,4137.831011,4281.778516,4776.202901,4841.759595,4724.996871,4463.947814,4525.535557,4496.651838
2,13609.57771,13554.68863,13815.42827,13885.80194,14221.34982,14039.77441,13152.62618,13927.18106,14411.33346,13782.4141,13714.32413,14086.42328,14078.84276,13752.5396,13969.41396,13470.93358,13631.33007,14335.36007,13437.52736,14549.92187,13209.15173,13360.82757,13920.50476,13822.53635,13756.02799,13083.38598,14452.22372,13471.10402,13662.28381,13946.17699,13977.09565,14528.85023,2168.941779,2145.981118,1949.577492,2180.13887,2059.535242,2027.162741,1900.526569,2057.514549,1866.232689,1771.573546,1994.520532,2224.913959,1956.795862,1992.302478,2290.964312,1902.834287,2127.080302,1956.344505,2012.175819,1690.232876,1931.09842,2194.323087,2040.907948,2092.523759,1538.885028,1954.011891,1880.493373,2140.002267,1997.600492,1860.440125,1845.539856,1910.907025
3,10804.40746,10756.51906,10582.53439,10963.00095,10534.6733,10545.9073,10495.48845,10538.57267,11542.48549,10672.64006,10815.96028,10913.26647,10784.42437,10890.37044,11240.2072,10414.31359,10950.79458,11059.09381,10307.97333,11115.34202,10761.81955,10415.24238,10863.78577,10468.68145,10888.28527,10074.28442,11110.5252,10702.15228,10812.56131,10615.04538,10892.52562,10589.31406,1767.539853,1827.527675,1768.140974,1704.844869,1545.099473,1732.347832,1546.818832,1738.712196,1764.3162,1566.536471,1793.481819,1757.970145,1541.935089,1718.776994,1679.838407,1412.362203,1803.020979,1649.055663,1536.181762,1547.106183,1605.113449,1642.866091,1532.598009,1621.123895,1466.902701,1780.963657,1668.5223,1506.441724,1602.0885,1483.472567,1538.365097,1767.360623
4,9176.502675,9051.401,8625.183754,8836.30094,8537.580866,8750.694198,9365.270139,8348.064185,9662.288994,9198.579518,8962.094142,9168.106792,8705.589434,8908.697758,8940.927414,8965.625168,8899.391097,8878.547422,8486.406092,8658.662546,8762.214776,8694.25408,8861.1026,8767.147074,9209.835861,8766.377333,8725.167686,9002.476806,8840.832986,9059.822538,9042.540775,8345.921783,3505.675392,3390.853237,3297.678547,3829.563851,3325.833085,3622.75828,3529.145575,3337.712519,3759.867608,3601.125695,3698.024498,3397.524093,3656.97345,3482.142038,3666.969868,3273.234615,3588.564821,3544.864443,3349.510296,3456.183346,3347.101506,3455.346637,3559.396638,3689.219168,3608.213683,3838.803565,3519.433209,3388.772541,3454.2659,3603.03802,3289.781909,3737.221038
5,7642.577883,7253.987051,7143.280763,7395.844437,7234.025989,7481.36369,7811.804149,6692.044585,7835.862903,7304.388029,7349.167345,7260.565974,7141.535401,7251.44096,7421.140331,7394.234569,7285.129709,7299.202124,6980.620723,7057.420702,7315.863367,7166.617067,7257.674434,7220.798773,7827.059275,7512.970341,7060.603129,7690.561756,7372.216518,7667.778369,7607.06093,7143.167718,1512.177926,1300.737576,1321.043014,1658.314053,1529.025729,1414.359806,1515.093061,1327.232312,1462.628101,1517.822657,1463.203122,1428.7261,1401.145379,1343.075553,1506.887968,1406.429067,1362.937675,1424.548041,1331.867735,1407.330483,1473.694737,1472.391208,1459.129577,1481.75168,1459.773444,1401.781422,1392.884247,1421.359699,1507.196947,1472.280382,1406.34525,1608.985645
6,2550.68101,2135.561803,2280.620277,2440.646042,2374.193526,2321.614436,2517.465707,2269.380515,2455.959816,2206.579521,2298.742247,2320.139327,2317.917536,2381.795625,2468.950941,2463.476005,2586.858958,2302.22867,2351.229348,2326.163483,2515.430913,2409.400562,2342.90485,2420.368959,2659.760624,2277.333867,2375.074601,2431.168487,2319.020615,2470.84043,2462.800143,2555.882489,468.896664,425.357304,456.9234265,513.6704439,517.4984778,526.8942283,466.4344299,414.0185133,435.5924677,450.2984253,427.7721114,461.5798901,453.0401523,428.0221033,520.8000771,567.7908902,424.7608447,357.2280298,513.0137109,427.81497,552.1785137,465.8429189,445.0424606,430.7274021,367.1723733,427.0097237,434.4242149,559.8985073,477.9451454,394.2965006,465.8148534,492.8022144
7,977.7840131,729.8945298,947.0887372,863.1528996,896.531115,701.9461329,1027.455528,932.7432518,819.3775918,854.5706801,860.5560128,892.4065711,926.9668222,1037.228603,985.7290641,967.374982,1019.384265,784.9419995,901.0250576,873.2071664,917.5402736,1005.767349,881.9887088,1079.78554,976.7355385,731.6544675,854.8987095,984.4828674,958.2483629,894.6614256,846.5413375,944.1083399,154.89897,219.9755296,225.0930704,166.6525424,229.9459479,206.8999988,183.8922819,218.7726512,181.7061773,202.5074726,176.3511794,223.1507511,191.7110854,201.4961846,244.7759076,276.3190432,209.5850997,174.14541,225.583748,159.7087023,215.2669588,204.730026,219.5507721,184.4865945,173.6532343,222.4859459,175.7808255,296.7523658,225.9596746,199.3493021,194.2204282,193.0085384
8,201.9009808,180.7187505,197.1716302,178.646529,189.1271455,138.9934146,230.7436926,160.0052855,132.8398583,186.5569135,136.7927862,202.9699465,189.9601063,249.0928549,210.8095251,210.1164681,215.7353583,150.1753685,209.6374368,202.5194569,190.5183731,271.5787755,197.1644183,239.5205919,190.362039,194.3249277,178.3733772,221.8682975,187.9058136,189.9788433,214.9527577,219.6159041,230.0555698,261.7009537,164.0289285,239.9153519,274.0237615,249.0038413,255.4598874,295.8073044,232.6341261,280.7242281,186.1470776,276.3012042,227.3770146,311.2367788,254.2825401,334.834469,233.3891781,182.6273254,273.7199995,226.7918841,231.1298641,218.2220033,195.817684,271.248316,291.9425862,284.2323234,261.5756469,294.9750377,201.4278608,247.5937334,197.2671298,289.3732395
9,240.3799274,240.5935025,192.2228806,238.6806264,256.6523297,171.4375389,228.1063519,201.3426684,188.2777842,205.2146421,200.1829476,289.9888109,206.5026161,211.7488533,217.9116275,164.9073147,207.2578654,191.5951213,242.7051627,236.6438179,230.132148,266.3401296,178.175313,191.0646145,205.0053889,234.3837464,235.7315037,230.2881757,179.6668768,228.5014397,241.9708572,235.3015149,139.4475119,150.6174442,140.8344307,187.9472361,195.5199801,160.7354001,177.1530781,181.4157254,166.8159903,186.9861018,154.1111146,155.1497062,178.0864062,185.2687829,131.024078,163.7669534,153.4829362,116.1561238,194.2198795,151.8618369,143.8958506,133.5016809,131.7447043,179.1537788,181.9987184,181.7646424,181.838249,167.2746219,151.2339874,147.1138661,129.7220783,163.3235405
