Fr,ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16,ch17,ch18,ch19,ch20,ch21,ch22,ch23,ch24,ch25,ch26,ch27,ch28,ch29,ch30,ch31, site4ch0 , site4ch1 , site4ch2 , site4ch3 , site4ch4 , site4ch5 , site4ch6 , site4ch7 , site4ch8 , site4ch9 , site4ch10 , site4ch11 , site4ch12 , site4ch13 , site4ch14 , site4ch15 , site4ch16 , site4ch17 , site4ch18 , site4ch19 , site4ch20 , site4ch21 , site4ch22 , site4ch23 , site4ch24 , site4ch25 , site4ch26 , site4ch27 , site4ch28 , site4ch29 , site4ch30 , site4ch31 
0,263.764404,265.6883347,208.6985602,328.2878564,301.8498964,205.2336253,229.3938233,235.0051007,250.840419,252.3612282,254.3934837,276.7336716,221.2258233,228.2924422,223.0513802,234.3189519,241.7856871,244.1596181,243.8697879,254.3874831,254.7380583,244.0206861,246.1857031,220.8598675,300.9514355,248.1009706,225.3784048,236.7686809,308.58937,271.2955869,215.1771269,238.83346,2.845089353,2.353605175,2.152111025,1.62369013,0.091460481,7.13500874,0.940932844,3.085260182,9.958611872,0.8260789,1.364590577,1.266069135,6.185118681,4.900740947,1.342771927,7.727150239,1.887869153,1.955116614,2.032989126,0.422441525,1.285230825,0.003794286,5.883031006,4.377691907,1.021426162,0.584015293,0.926257955,4.913396603,2.950398814,15.87126813,4.977377013,6.710197027
1,819.1767681,1015.503236,856.9477938,895.2294919,811.9725505,799.7069679,846.4212867,767.5223008,879.5455722,908.9324111,892.1677859,798.9574824,771.0362208,941.0135117,769.1535347,929.0181867,957.8080852,910.5998514,908.6649109,842.6826205,723.6156154,764.6384291,942.4221807,888.1463719,935.985014,947.2180727,853.6241415,866.5526115,1148.806209,920.5619079,794.6797474,926.7770154,876.7741381,916.9403861,1042.463593,958.5687727,984.1084816,877.3609643,968.2417505,977.7675933,861.3661714,1066.988794,864.6221998,920.6526193,953.3405037,788.4068137,888.5121286,935.0380198,1059.170045,750.2425695,903.2429186,885.3334534,934.1456131,984.8308112,885.1742591,1047.098492,1006.177221,965.0183378,961.1842386,986.3869748,1056.48258,803.9996644,936.469026,821.0029273
2,216.1698691,155.6631849,173.8854942,193.1813395,230.9851641,110.9553323,110.0975952,164.9762116,167.4439485,172.9733887,178.750245,188.4266085,160.7236391,191.1343872,145.1486347,249.3452538,271.7815,151.5819904,264.5720573,224.7084231,147.7023005,174.6145739,131.5267597,189.172756,270.1942787,163.9175841,138.0797648,200.8676643,168.0985009,262.2432966,220.903213,274.5854559,3180.029465,3086.306027,3265.981373,3118.404424,3254.384182,3020.325128,3204.080231,3113.205969,3018.44936,3348.091651,3217.446674,3347.212119,3050.471815,2764.410408,2973.970799,3054.471088,3485.895851,2995.423561,3271.447593,2830.379535,3102.24867,3087.469524,3012.829847,3443.807773,3231.412962,3097.114958,3393.180963,3188.584652,3453.682524,2943.636938,3060.99287,2997.141464
3,2755.499332,2646.179243,2208.002777,2668.544839,2558.670699,2474.849188,2572.308751,2560.030791,2673.230727,2773.144507,2561.430606,2924.40434,2761.006767,2426.329028,2669.220417,3012.223852,2544.649456,2315.838077,2886.308653,2603.741281,2593.640236,2578.579556,2614.595066,2899.157172,2471.214538,2443.911584,2597.074334,2573.563143,2563.650961,2600.794984,2650.6831,2771.542206,3308.162384,3543.13563,3331.505678,3136.038358,3334.050874,3105.56301,3205.638846,3250.352022,3227.720451,3451.318012,3460.048615,3408.442324,3121.822753,3234.106857,3100.858882,3327.877186,3444.529757,3330.980573,3173.479271,2987.765565,3338.847373,3201.760086,3348.983578,3192.88241,3442.885671,3024.255832,3409.720919,3458.824959,3486.949974,3241.40508,3170.841627,3282.739419
4,4070.799956,4149.05867,3859.622815,4052.697082,3828.353595,3828.755545,4289.820882,4105.504509,4189.984083,4159.465522,4249.618605,4391.405989,4314.18097,3845.568006,4109.078455,4337.806799,3992.468407,3838.425662,4259.022737,4046.740942,4071.382064,4114.645001,4097.233112,4364.959589,4009.518713,3952.62191,4300.263129,4008.620988,3965.234839,4336.176183,4172.445586,4206.26527,1661.286094,1709.454927,1736.516674,1689.36184,1661.22135,1739.620006,1600.704732,1745.343902,1667.698578,1681.211185,1778.261467,1552.998323,1568.405226,1736.519114,1577.971,1787.317552,1611.76061,1724.058055,1490.859167,1658.882098,1617.457986,1738.71434,1775.837944,1679.768155,1751.334175,1498.064551,1606.748472,1774.164575,1768.451181,1630.048632,1492.837062,1800.91387
5,2058.538037,2202.746281,2243.594306,2089.742704,1911.335667,1944.361485,2458.900303,2135.444828,2333.9232,2089.038106,2431.518429,2316.822547,2189.941387,2089.344147,2129.935565,2033.04125,2070.963068,2247.662468,2150.210106,2182.575869,2219.361197,2227.34853,2260.885452,2241.658588,2262.675163,2225.346362,2304.199068,2106.009102,2148.525392,2400.060228,2248.807705,2211.412023,2943.686451,3007.485642,3040.969255,3324.96994,3014.80267,2955.414756,3000.23912,3121.682989,3132.480217,2922.662642,3212.676578,2856.064022,3161.315207,2813.902244,3048.096125,3162.280853,2977.91493,3211.730408,2954.464452,3043.9188,3062.302561,2997.79759,3185.615773,2902.622855,3062.616227,2857.171631,2783.385265,3160.163306,2890.569606,3066.226088,3071.220567,3144.82215
6,911.1621611,922.0701897,963.4953259,855.7987094,884.7237944,834.4284277,1016.591333,1034.099869,947.3899722,912.2747157,993.8254795,963.6820211,790.6978934,942.5879072,748.2407608,921.1467129,941.0518744,958.8470401,859.2036813,859.0879809,870.3189248,1100.14999,876.3752755,978.3413257,898.2959731,873.7518089,918.9274134,1068.401138,1031.364952,887.2079079,824.0029233,993.2947406,2795.742256,2643.143451,2914.107484,2989.69796,2841.04937,2754.340748,2870.180289,2849.159297,2844.32428,2821.797139,3045.611223,2557.468173,2881.833537,2805.154356,2873.560113,2776.159314,2683.632157,2927.603847,2596.696262,2658.951944,2936.407438,2741.670397,3038.962396,2642.692276,2765.326622,2728.575317,2599.748318,2768.317811,2636.338038,2832.867527,2858.020887,3040.468783
7,255.3845176,253.4438688,267.0922029,242.5133052,258.5122767,226.2043053,305.3059852,301.159689,274.7617092,290.4773521,310.2063177,248.7326644,226.9492596,292.4204196,211.4067605,278.0658095,358.2349767,329.1708032,249.8637619,225.2601357,268.5071633,309.8610067,287.7657071,313.3699387,287.3003579,253.9584218,279.7156699,306.1050177,308.5543267,262.895409,256.3960202,281.3104674,567.2191624,553.6394428,629.6015678,590.1114752,526.5999129,650.0392886,690.4247781,661.9296481,590.9120123,660.6726615,653.7285704,529.0078266,532.6683721,642.2663776,640.67061,550.3049858,416.3145101,558.469826,614.9244115,645.6312537,572.6536204,541.9566894,571.2767111,509.1367222,613.3339723,525.0163324,525.7652037,476.0929253,572.8673768,529.2527053,584.8892285,580.918339
8,142.9359374,169.2874967,141.3443069,86.39487135,115.3640942,210.6670721,119.0222139,143.9052403,116.1241843,124.7086359,123.4070972,136.7816833,144.3588408,133.0017804,178.5741132,135.1202785,131.2535346,90.00359217,153.0052069,107.1623304,103.9440572,70.66675085,112.6483112,104.3079129,144.5171081,112.28591,146.4689485,113.8543471,125.2526866,147.2755467,154.0528087,141.2627067,310.1944926,320.5455369,303.5941107,317.233075,254.9472745,360.1997475,319.0600486,312.5142157,373.2868583,354.5846473,372.6997303,265.6959109,317.2147895,345.6889141,337.9886849,309.2598474,286.7045787,282.8743277,355.7621301,320.476091,318.1525521,271.9586219,292.5549316,305.6175836,310.8029558,341.2728541,316.8260465,287.589436,332.5280376,256.4972457,305.7750841,283.3418894
9,251.4784433,297.2187147,296.711939,283.0722753,280.087314,266.5276192,264.8343516,228.4174845,245.8850977,238.2059678,226.8678783,328.7823681,260.7298257,250.4995687,305.4105838,279.5712087,224.4398186,263.0610536,248.6583376,235.6091836,246.6385427,284.3361984,243.9097636,304.0851484,273.8494232,239.136934,290.807085,255.4109303,228.5163906,240.0932552,335.6519449,276.5074825,90.66481091,72.68713609,96.06465007,133.6483632,96.54840323,114.9950306,128.9360951,116.4806679,71.71146455,111.8783014,114.0521767,103.8120187,119.771255,128.5390807,106.5146024,108.4311861,86.8801738,88.24338804,96.42460587,105.1148093,83.83029037,107.6514815,110.3940188,112.9882266,100.4622659,129.8873607,132.8007991,146.5838056,109.5551539,104.6510595,109.4647965,110.2166069
