cells,waveform,experiment,experiment_waveform,xcorr_baseline,xcorr_laser,xcorr_diff
155.176,narrow,dlxchr2,dlxchr2_narrow,16,18,2
155.189,narrow,dlxchr2,dlxchr2_narrow,16,16,0
155.202,narrow,dlxchr2,dlxchr2_narrow,21,27,6
155.24,narrow,dlxchr2,dlxchr2_narrow,14,15,1
155.319,narrow,dlxchr2,dlxchr2_narrow,14,15,1
155.32,narrow,dlxchr2,dlxchr2_narrow,20,18,-2
176.155,narrow,dlxchr2,dlxchr2_narrow,16,18,2
176.189,narrow,dlxchr2,dlxchr2_narrow,19,20,1
176.202,narrow,dlxchr2,dlxchr2_narrow,22,25,3
176.24,narrow,dlxchr2,dlxchr2_narrow,16,17,1
176.319,narrow,dlxchr2,dlxchr2_narrow,15,14,-1
176.32,narrow,dlxchr2,dlxchr2_narrow,25,20,-5
189.155,narrow,dlxchr2,dlxchr2_narrow,16,16,0
189.176,narrow,dlxchr2,dlxchr2_narrow,19,20,1
189.202,narrow,dlxchr2,dlxchr2_narrow,34,35,1
189.24,narrow,dlxchr2,dlxchr2_narrow,15,15,0
189.319,narrow,dlxchr2,dlxchr2_narrow,15,14,-1
189.32,narrow,dlxchr2,dlxchr2_narrow,27,32,5
194.198,narrow,dlxchr2,dlxchr2_narrow,4,6,2
194.278,narrow,dlxchr2,dlxchr2_narrow,4,7,3
194.288,narrow,dlxchr2,dlxchr2_narrow,6,9,3
194.296,narrow,dlxchr2,dlxchr2_narrow,7,6,-1
194.399,narrow,dlxchr2,dlxchr2_narrow,6,7,1
194.435,narrow,dlxchr2,dlxchr2_narrow,6,10,4
194.5,narrow,dlxchr2,dlxchr2_narrow,6,11,5
194.62,narrow,dlxchr2,dlxchr2_narrow,4,7,3
198.194,narrow,dlxchr2,dlxchr2_narrow,4,6,2
198.278,narrow,dlxchr2,dlxchr2_narrow,5,12,7
198.288,narrow,dlxchr2,dlxchr2_narrow,6,11,5
198.296,narrow,dlxchr2,dlxchr2_narrow,6,9,3
198.399,narrow,dlxchr2,dlxchr2_narrow,6,8,2
198.435,narrow,dlxchr2,dlxchr2_narrow,7,17,10
198.5,narrow,dlxchr2,dlxchr2_narrow,8,12,4
198.62,narrow,dlxchr2,dlxchr2_narrow,5,10,5
202.155,narrow,dlxchr2,dlxchr2_narrow,21,27,6
202.176,narrow,dlxchr2,dlxchr2_narrow,22,25,3
202.189,narrow,dlxchr2,dlxchr2_narrow,34,35,1
202.24,narrow,dlxchr2,dlxchr2_narrow,24,21,-3
202.319,narrow,dlxchr2,dlxchr2_narrow,21,22,1
202.32,narrow,dlxchr2,dlxchr2_narrow,12,41,29
240.155,narrow,dlxchr2,dlxchr2_narrow,14,15,1
240.176,narrow,dlxchr2,dlxchr2_narrow,16,17,1
240.189,narrow,dlxchr2,dlxchr2_narrow,15,15,0
240.202,narrow,dlxchr2,dlxchr2_narrow,24,21,-3
240.319,narrow,dlxchr2,dlxchr2_narrow,21,18,-3
240.32,narrow,dlxchr2,dlxchr2_narrow,19,17,-2
278.194,narrow,dlxchr2,dlxchr2_narrow,4,7,3
278.198,narrow,dlxchr2,dlxchr2_narrow,5,12,7
278.288,narrow,dlxchr2,dlxchr2_narrow,14,14,0
278.296,narrow,dlxchr2,dlxchr2_narrow,11,10,-1
278.399,narrow,dlxchr2,dlxchr2_narrow,9,15,6
278.435,narrow,dlxchr2,dlxchr2_narrow,16,21,5
278.5,narrow,dlxchr2,dlxchr2_narrow,13,23,10
278.62,narrow,dlxchr2,dlxchr2_narrow,7,16,9
288.194,narrow,dlxchr2,dlxchr2_narrow,6,9,3
288.198,narrow,dlxchr2,dlxchr2_narrow,6,11,5
288.278,narrow,dlxchr2,dlxchr2_narrow,14,14,0
288.296,narrow,dlxchr2,dlxchr2_narrow,18,10,-8
288.399,narrow,dlxchr2,dlxchr2_narrow,11,10,-1
288.435,narrow,dlxchr2,dlxchr2_narrow,16,16,0
288.5,narrow,dlxchr2,dlxchr2_narrow,27,16,-11
288.62,narrow,dlxchr2,dlxchr2_narrow,11,13,2
296.194,narrow,dlxchr2,dlxchr2_narrow,7,6,-1
296.198,narrow,dlxchr2,dlxchr2_narrow,6,9,3
296.278,narrow,dlxchr2,dlxchr2_narrow,11,10,-1
296.288,narrow,dlxchr2,dlxchr2_narrow,18,10,-8
296.399,narrow,dlxchr2,dlxchr2_narrow,10,8,-2
296.435,narrow,dlxchr2,dlxchr2_narrow,14,12,-2
296.5,narrow,dlxchr2,dlxchr2_narrow,14,10,-4
296.62,narrow,dlxchr2,dlxchr2_narrow,10,7,-3
319.155,narrow,dlxchr2,dlxchr2_narrow,14,15,1
319.176,narrow,dlxchr2,dlxchr2_narrow,15,14,-1
319.189,narrow,dlxchr2,dlxchr2_narrow,15,14,-1
319.202,narrow,dlxchr2,dlxchr2_narrow,21,22,1
319.24,narrow,dlxchr2,dlxchr2_narrow,21,18,-3
319.32,narrow,dlxchr2,dlxchr2_narrow,20,17,-3
320.155,narrow,dlxchr2,dlxchr2_narrow,20,18,-2
320.176,narrow,dlxchr2,dlxchr2_narrow,25,20,-5
320.189,narrow,dlxchr2,dlxchr2_narrow,27,32,5
320.202,narrow,dlxchr2,dlxchr2_narrow,15,41,26
320.24,narrow,dlxchr2,dlxchr2_narrow,19,17,-2
320.319,narrow,dlxchr2,dlxchr2_narrow,20,17,-3
399.194,narrow,dlxchr2,dlxchr2_narrow,6,7,1
399.198,narrow,dlxchr2,dlxchr2_narrow,6,8,2
399.278,narrow,dlxchr2,dlxchr2_narrow,9,15,6
399.288,narrow,dlxchr2,dlxchr2_narrow,11,10,-1
399.296,narrow,dlxchr2,dlxchr2_narrow,10,8,-2
399.435,narrow,dlxchr2,dlxchr2_narrow,11,16,5
399.5,narrow,dlxchr2,dlxchr2_narrow,9,17,8
399.62,narrow,dlxchr2,dlxchr2_narrow,8,9,1
435.194,narrow,dlxchr2,dlxchr2_narrow,6,10,4
435.198,narrow,dlxchr2,dlxchr2_narrow,7,17,10
435.278,narrow,dlxchr2,dlxchr2_narrow,16,21,5
435.288,narrow,dlxchr2,dlxchr2_narrow,16,16,0
