,Time(sec),Unit_337.83,Unit_340.53,Unit_343.11,Unit_345.67,Unit_348.2,Unit_368.85,Unit_371.54,Unit_374.12,Unit_376.67,Unit_379.22,Unit_489.77,Unit_490.96,Unit_492.08,Unit_493.18,Unit_494.25,Unit_496.35,Unit_497.42,Unit_498.51,Unit_499.61,Unit_500.69,Unit_502.77,Unit_503.86,Unit_504.96,Unit_506.05,Unit_507.14,Unit_509.24,Unit_510.32,Unit_511.43,Unit_512.5,Unit_513.59,Unit_515.67,Unit_516.75,Unit_517.83,Unit_518.91,Unit_519.99,Unit_22.98,Unit_24.19,Unit_25.31,Unit_26.42,Unit_27.5,Unit_46.92,Unit_48.11,Unit_49.22,Unit_50.32,Unit_51.41,Unit_76.36,Unit_77.55,Unit_78.67,Unit_79.77,Unit_80.87,Unit_82.96,Unit_84.05,Unit_85.14,Unit_86.22,Unit_87.31,Unit_89.39,Unit_90.49,Unit_91.57,Unit_92.66,Unit_93.75,Unit_95.84,Unit_96.92,Unit_98.01,Unit_99.11,Unit_100.18,Unit_102.27,Unit_103.37,Unit_104.46,Unit_105.56,Unit_106.66,Unit_337.83.1,Unit_340.53.1,Unit_343.11.1,Unit_345.67.1,Unit_348.2.1,Unit_368.85.1,Unit_371.54.1,Unit_374.12.1,Unit_376.67.1,Unit_379.22.1,Unit_489.77.1,Unit_490.96.1,Unit_492.08.1,Unit_493.18.1,Unit_494.25.1,Unit_496.35.1,Unit_497.42.1,Unit_498.51.1,Unit_499.61.1,Unit_500.69.1,Unit_502.77.1,Unit_503.86.1,Unit_504.96.1,Unit_506.05.1,Unit_507.14.1,Unit_509.24.1,Unit_510.32.1,Unit_511.43.1,Unit_512.5.1,Unit_513.59.1,Unit_515.67.1,Unit_516.75.1,Unit_517.83.1,Unit_518.91.1,Unit_519.99.1,Unit_337.83.2,Unit_340.53.2,Unit_343.11.2,Unit_345.67.2,Unit_348.2.2,Unit_368.85.2,Unit_371.54.2,Unit_374.12.2,Unit_376.67.2,Unit_379.22.2,Unit_489.77.2,Unit_490.96.2,Unit_492.08.2,Unit_493.18.2,Unit_494.25.2,Unit_496.35.2,Unit_497.42.2,Unit_498.51.2,Unit_499.61.2,Unit_500.69.2,Unit_502.77.2,Unit_503.86.2,Unit_504.96.2,Unit_506.05.2,Unit_507.14.2,Unit_509.24.2,Unit_510.32.2,Unit_511.43.2,Unit_512.5.2,Unit_513.59.2,Unit_515.67.2,Unit_516.75.2,Unit_517.83.2,Unit_518.91.2,Unit_519.99.2
0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,200,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0
1,-0.995,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,-0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,-0.985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,-0.98,0,0,0,0,0,0,0,0,0,0,200,0,0,0,200,0,0,0,0,0,0,800,0,0,0,0,0,0,0,0,0,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0
5,-0.975,0,0,0,0,0,0,0,0,0,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,600,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,-0.97,0,0,0,0,0,0,0,0,0,0,200,0,0,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,200,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,-0.965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400,0,0,0,0,0,0,0,0,0,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,-0.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400,0,0,0,0,0,0,200,0,0,0,0
9,-0.955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,200,0,0,0,0,200,0,0,0,0,0,0,0,200,200,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
