Cell_ID,GeneticID,InputResistance_Mohm),Rheobase_pA
0,CAMKII,210.4428583,20
1,CAMKII,213.782206,40
2,CAMKII,76.36581527,10
3,CAMKII,69.07001357,10
4,CAMKII,196.5768619,20
5,CAMKII,206.9484417,30
6,CAMKII,193.7144857,70
7,CAMKII,192.6363833,10
8,CAMKII,210.1454631,20
9,CAMKII,201.0377667,30
10,CAMKII,184.6067821,60
11,CAMKII,167.2836357,60
12,CAMKII,233.8625369,0
13,CAMKII,394.4919583,0
14,CAMKII,351.4443417,10
15,CAMKII,342.6712083,50
16,CAMKII,277.876669,50
17,CAMKII,289.2520036,50
0,GAD1,253.3018269,0
1,GAD1,263.0225717,10
2,GAD1,344.938794,0
3,GAD1,325.5711571,40
4,GAD1,264.1222952,30
5,GAD1,271.8172988,10
6,GAD1,148.3248393,10
7,GAD1,178.4358417,40
8,GAD1,152.413969,40
9,GAD1,394.1491369,20
10,GAD1,389.2069202,N/A
