Time,Unit1,Unit2,Unit3,Unit 4,Unit5,Unit6,Unit7,Unit8,Unit9,Unit10,Unit11,Unit12,Unit13,Unit14,Unit15,Unit16
-0.5,2,0,0,1,5,1,0,1,1,2,0,0,0,3,0,2
-0.49,8,0,0,2,3,1,0,2,1,0,0,1,0,1,2,0
-0.48,7,3,1,1,2,0,0,3,1,0,0,1,0,3,0,0
-0.47,8,1,0,0,3,2,1,0,1,0,0,0,1,2,1,0
-0.46,3,0,0,1,2,0,1,2,1,1,0,0,0,1,1,0
-0.45,3,1,0,1,3,1,0,1,0,0,0,0,1,2,1,1
-0.44,3,2,0,1,1,4,0,0,0,0,1,0,1,1,0,0
-0.43,5,2,0,1,1,3,1,1,1,0,1,0,1,3,0,0
-0.42,5,2,0,0,2,1,0,0,0,0,2,0,0,3,0,1
-0.41,8,0,0,0,5,1,1,0,1,1,0,0,3,2,2,2
-0.4,3,0,1,1,2,1,0,0,1,0,0,0,2,0,1,0
-0.39,2,1,1,0,3,1,0,2,1,0,1,0,1,2,0,0
-0.38,8,1,1,0,0,1,0,2,0,0,1,0,0,3,0,0
-0.37,5,0,0,1,3,1,0,1,2,1,1,0,1,0,0,2
-0.36,5,0,0,1,2,1,0,1,0,0,3,1,1,2,3,1
-0.35,2,2,1,1,1,2,0,2,1,0,1,0,0,3,0,0
-0.34,6,0,0,0,0,0,0,0,0,0,2,0,0,1,0,2
-0.33,7,2,2,2,0,1,0,0,0,3,3,0,0,3,0,1
-0.32,0,1,0,4,1,2,0,1,0,0,0,0,2,0,0,0
-0.31,4,2,0,2,0,2,0,1,0,1,1,0,0,2,4,2
-0.3,6,2,0,1,3,1,0,0,2,0,1,0,1,0,3,1
-0.29,6,0,1,1,2,4,0,1,1,0,1,0,1,1,1,0
-0.28,8,3,1,0,2,1,0,0,4,0,1,0,1,1,0,1
-0.27,3,1,1,1,3,1,0,0,0,1,3,0,2,3,2,1
-0.26,5,0,0,0,4,2,0,1,3,0,2,1,0,1,1,0
-0.25,6,0,0,0,1,1,0,1,2,1,1,0,0,3,1,2
-0.24,6,1,0,0,2,0,0,0,1,1,0,1,1,1,0,1
-0.23,3,2,0,1,2,0,0,0,2,1,0,0,0,3,1,0
-0.22,6,1,0,0,2,3,0,1,1,1,1,1,0,1,0,1
-0.21,4,3,0,0,3,0,0,0,1,1,1,1,1,1,2,1
-0.2,5,0,0,1,5,1,0,1,0,0,1,2,0,0,3,1
-0.19,2,1,0,2,2,2,0,0,0,1,1,0,0,1,0,1
