ID,GeneticID,Method,Stimulus,Accuracy
GAD_NEG1,GAD_NEG,rcorr,STIM1,0.282885526
GAD_NEG1,GAD_NEG,rcorr,STIM2,0.22134809
GAD_NEG1,GAD_NEG,rcorr,STIM3,0.297419828
GAD_NEG1,GAD_NEG,rcorr,WN,0.164010934
GAD_NEG10,GAD_NEG,rcorr,STIM4,0.469431295
GAD_NEG10,GAD_NEG,rcorr,STIM6,0.286552437
GAD_NEG10,GAD_NEG,rcorr,STIM11,0.341689446
GAD_NEG10,GAD_NEG,rcorr,WN,0.155543703
GAD_NEG11,GAD_NEG,rcorr,STIM4,0.277818521
GAD_NEG11,GAD_NEG,rcorr,STIM6,0.317621175
GAD_NEG11,GAD_NEG,rcorr,STIM11,0.338822588
GAD_NEG11,GAD_NEG,rcorr,WN,0.250616708
GAD_NEG12,GAD_NEG,rcorr,STIM4,0.559837322
GAD_NEG12,GAD_NEG,rcorr,STIM6,0.221414761
GAD_NEG12,GAD_NEG,rcorr,STIM11,0.646509767
GAD_NEG12,GAD_NEG,rcorr,WN,0.176478432
GAD_NEG13,GAD_NEG,rcorr,STIM4,0.333288886
GAD_NEG13,GAD_NEG,rcorr,STIM6,0.426695113
GAD_NEG13,GAD_NEG,rcorr,STIM11,0.557170478
GAD_NEG13,GAD_NEG,rcorr,WN,0.316421095
GAD_NEG14,GAD_NEG,rcorr,STIM4,0.510434029
GAD_NEG14,GAD_NEG,rcorr,STIM6,0.367424495
GAD_NEG14,GAD_NEG,rcorr,STIM11,0.498833256
GAD_NEG14,GAD_NEG,rcorr,WN,0.295286352
GAD_NEG15,GAD_NEG,rcorr,STIM4,0.549969998
GAD_NEG15,GAD_NEG,rcorr,STIM6,0.450163344
GAD_NEG15,GAD_NEG,rcorr,STIM11,0.435562371
GAD_NEG15,GAD_NEG,rcorr,WN,0.565571038
GAD_NEG16,GAD_NEG,rcorr,STIM4,0.195613041
GAD_NEG16,GAD_NEG,rcorr,STIM6,0.467964531
GAD_NEG16,GAD_NEG,rcorr,STIM11,0.38869258
GAD_NEG16,GAD_NEG,rcorr,WN,0.200146676
GAD_NEG17,GAD_NEG,rcorr,STIM4,0.784484606
GAD_NEG17,GAD_NEG,rcorr,STIM10,0.653546682
GAD_NEG17,GAD_NEG,rcorr,STIM6,0.559897136
GAD_NEG17,GAD_NEG,rcorr,STIM11,0.249160654
GAD_NEG17,GAD_NEG,rcorr,WN,0.704050289
GAD_NEG2,GAD_NEG,rcorr,STIM7,0.311287419
GAD_NEG2,GAD_NEG,rcorr,STIM8,0.316687779
GAD_NEG2,GAD_NEG,rcorr,STIM9,0.387425828
GAD_NEG2,GAD_NEG,rcorr,WN,0.197679845
GAD_NEG3,GAD_NEG,rcorr,STIM7,0.313287553
GAD_NEG3,GAD_NEG,rcorr,STIM8,0.261217414
GAD_NEG3,GAD_NEG,rcorr,STIM9,0.273151543
