Unit,Stimulus,Z_score
CAMKII_110818_12_A_NEG3,1???,-1.326716097
CAMKII_110818_12_A_NEG3,2???,-0.034924557
CAMKII_110818_12_A_NEG3,3???,-0.191537924
CAMKII_110818_12_A_NEG3,4???,0.434787353
CAMKII_110818_12_B_POS3,1???,-0.110407485
CAMKII_110818_12_B_POS3,2???,0.338616707
CAMKII_110818_12_B_POS3,3???,-0.545938176
CAMKII_110818_12_B_POS3,4???,0.239453302
CAMKII_110818_12_D_POS4,1???,-0.2487538
CAMKII_110818_12_D_POS4,2???,0.706795212
CAMKII_110818_12_D_POS4,3???,-0.46634293
CAMKII_110818_12_D_POS4,4???,0.592534538
CAMKII_110818_16_A_POS5,1???,0
CAMKII_110818_16_A_POS5,2???,1.135467179
CAMKII_110818_16_A_POS5,3???,-0.611010093
CAMKII_110818_16_A_POS5,4???,-0.053558926
CAMKII_110818_19_A_POS6,1???,-0.659153062
CAMKII_110818_19_A_POS6,2???,0.587055134
CAMKII_110818_19_A_POS6,3???,0
CAMKII_110818_19_A_POS6,4???,0.530886609
CAMKII_110818_21_A_NEG4,1???,-1.231823954
CAMKII_110818_21_A_NEG4,2???,0.111069642
CAMKII_110818_21_A_NEG4,3???,-0.870243271
CAMKII_110818_21_A_NEG4,4???,-0.088591211
CAMKII_110818_21_B_NEG5,1???,-0.696373059
CAMKII_110818_21_B_NEG5,2???,-0.022843028
CAMKII_110818_21_B_NEG5,3???,-0.582839404
CAMKII_110818_21_B_NEG5,4???,0.091908066
CAMKII_110818_21_C_POS7,1???,-0.792775441
CAMKII_110818_21_C_POS7,2???,0.257858033
CAMKII_110818_21_C_POS7,3???,-0.331861656
CAMKII_110818_21_C_POS7,4???,0.0612031
CAMKII_110818_23_A_POS8,1???,-0.767043327
CAMKII_110818_23_A_POS8,2???,-0.578211344
CAMKII_110818_23_A_POS8,3???,0.062220686
CAMKII_110818_23_A_POS8,4???,0.621513763
CAMKII_110818_23_B_NEG6,1???,-1.871253953
CAMKII_110818_23_B_NEG6,2???,-0.376788925
CAMKII_110818_23_B_NEG6,3???,-0.63753635
CAMKII_110818_23_B_NEG6,4???,0.64498459
CAMKII_110818_29_A_POS9,1???,0.157301042
CAMKII_110818_29_A_POS9,2???,-0.122737779
CAMKII_110818_29_A_POS9,3???,-0.127635846
CAMKII_110818_29_A_POS9,4???,-0.843901359
CAMKII_110818_29_B_NEG7,1???,0.625384716
CAMKII_110818_29_B_NEG7,2???,-0.222978467
CAMKII_110818_29_B_NEG7,3???,0.852771463
CAMKII_110818_29_B_NEG7,4???,0.450922596
CAMKII_110818_31_B_POS10,1???,0.204038846
CAMKII_110818_31_B_POS10,2???,0.478126584
CAMKII_110818_31_B_POS10,3???,0.704241572
CAMKII_110818_31_B_POS10,4???,-0.333711906
CAMKII_110818_5_A_POS1,1???,-0.712703323
CAMKII_110818_5_A_POS1,2???,0.322124277
CAMKII_110818_5_A_POS1,3???,-0.027751788
CAMKII_110818_5_A_POS1,4???,-0.015247324
CAMKII_110818_5_B_NEG1,1???,-0.294341662
CAMKII_110818_5_B_NEG1,2???,-0.412581295
CAMKII_110818_5_B_NEG1,3???,0.054542879
CAMKII_110818_5_B_NEG1,4???,-0.042919754
CAMKII_110818_9_A_NEG2,1???,-3.00687125
CAMKII_110818_9_A_NEG2,2???,-1.244654663
CAMKII_110818_9_A_NEG2,3???,-0.636452588
CAMKII_110818_9_A_NEG2,4???,-0.45541069
CAMKII_110818_9_B_POS2,1???,-0.471557301
CAMKII_110818_9_B_POS2,2???,-0.330313947
CAMKII_110818_9_B_POS2,3???,-0.271974704
CAMKII_110818_9_B_POS2,4???,0.782591637
CAMKII_111918_10_A_POS11,1???,2.419980084
CAMKII_111918_10_A_POS11,2???,2.880142866
CAMKII_111918_10_A_POS11,3???,1.336959347
CAMKII_111918_10_A_POS11,4???,2.090975563
CAMKII_111918_37_A_POS12,1???,2.002912096
CAMKII_111918_37_A_POS12,2???,2.66251088
CAMKII_111918_37_A_POS12,3???,1.999590621
CAMKII_111918_37_A_POS12,4???,2.717573132
CAMKII_111918_37_B_NEG8,1???,-0.153480726
CAMKII_111918_37_B_NEG8,2???,-0.206630612
CAMKII_111918_37_B_NEG8,3???,-1.018329201
CAMKII_111918_37_B_NEG8,4???,0.461360055
CAMKII_120418_31_A_NEG9,1???,0.224259017
CAMKII_120418_31_A_NEG9,2???,0.693730521
CAMKII_120418_31_A_NEG9,3???,1.079731229
CAMKII_120418_31_A_NEG9,4???,0.44349122
CAMKII_120418_31_B_POS13,1???,1.582335774
CAMKII_120418_31_B_POS13,2???,3.029411765
CAMKII_120418_31_B_POS13,3???,1.119602658
CAMKII_120418_31_B_POS13,4???,1.068975263
CAMKII_120418_31_E_NEG10,1???,0.891882585
CAMKII_120418_31_E_NEG10,2???,0.380290714
CAMKII_120418_31_E_NEG10,3???,-0.154724945
CAMKII_120418_31_E_NEG10,4???,0.325553352
CAMKII_120418_33_B_POS14,1???,1.388754949
CAMKII_120418_33_B_POS14,2???,1.973529826
CAMKII_120418_33_B_POS14,3???,1.711853644
CAMKII_120418_33_B_POS14,4???,0.126757466
CAMKII_120418_33_C_POS15,1???,0.589151043
CAMKII_120418_33_C_POS15,2???,1.069044968
CAMKII_120418_33_C_POS15,3???,0.583397644
CAMKII_120418_33_C_POS15,4???,0.798100705
CAMKII_120418_33_D_NEG11,1???,0.56260754
CAMKII_120418_33_D_NEG11,2???,0.042535315
CAMKII_120418_33_D_NEG11,3???,0.590190951
CAMKII_120418_33_D_NEG11,4???,0.759984748
CAMKII_120418_35_B_POS16,1???,0.881897506
CAMKII_120418_35_B_POS16,2???,0.413229189
CAMKII_120418_35_B_POS16,3???,0.301966272
CAMKII_120418_35_B_POS16,4???,-0.121756887
CAMKII_120418_37_A_NEG12,1???,4.634414801
CAMKII_120418_37_A_NEG12,2???,3.15193596
CAMKII_120418_37_A_NEG12,3???,2.360933384
CAMKII_120418_37_A_NEG12,4???,2.057453457
CAMKII_120418_37_B_POS17,1???,2.551998714
CAMKII_120418_37_B_POS17,2???,3.578504076
CAMKII_120418_37_B_POS17,3???,1.03989022
CAMKII_120418_37_B_POS17,4???,-0.120413203
CAMKII_120418_39_A_NEG13,1???,0.4866071
CAMKII_120418_39_A_NEG13,2???,-0.275298881
CAMKII_120418_39_A_NEG13,3???,0.60292484
CAMKII_120418_39_A_NEG13,4???,-0.169599661
CAMKII_120418_39_B_POS18,1???,2.081527236
CAMKII_120418_39_B_POS18,2???,2.156730198
CAMKII_120418_39_B_POS18,3???,1.920209415
CAMKII_120418_39_B_POS18,4???,0.69844961
CAMKII_120418_61_A_POS19,1???,2.829494778
CAMKII_120418_61_A_POS19,2???,1.650361529
CAMKII_120418_61_A_POS19,3???,1.030357973
CAMKII_120418_61_A_POS19,4???,2.128527263
CAMKII_120418_61_C_NEG14,1???,-1.053662224
CAMKII_120418_61_C_NEG14,2???,-0.423278471
CAMKII_120418_61_C_NEG14,3???,-0.470751681
CAMKII_120418_61_C_NEG14,4???,-1.158353733
CAMKII_120418_63_A_POS20,1???,7.593068458
CAMKII_120418_63_A_POS20,2???,7.955939826
CAMKII_120418_63_A_POS20,3???,4.704108836
CAMKII_120418_63_A_POS20,4???,6.920318377
CAMKII_120418_63_B_NEG15,1???,0.374682239
CAMKII_120418_63_B_NEG15,2???,0.65171902
