Unit,Stimulus,Latency,GeneticID
CAMKII_110818_12_B_POS3,WhiteNoise,0.055,CAMKII
CAMKII_110818_12_D_POS4,WhiteNoise,0.34,CAMKII
CAMKII_110818_16_A_POS5,WhiteNoise,0.335,CAMKII
CAMKII_110818_19_A_POS6,WhiteNoise,0.285,CAMKII
CAMKII_110818_21_C_POS7,WhiteNoise,0.315,CAMKII
CAMKII_110818_23_A_POS8,WhiteNoise,0.4,CAMKII
CAMKII_110818_29_A_POS9,WhiteNoise,NA,CAMKII
CAMKII_110818_31_B_POS10,WhiteNoise,NA,CAMKII
CAMKII_110818_5_A_POS1,WhiteNoise,0.1,CAMKII
CAMKII_110818_9_B_POS2,WhiteNoise,0.285,CAMKII
CAMKII_111918_10_A_POS11,WhiteNoise,0.05,CAMKII
CAMKII_111918_37_A_POS12,WhiteNoise,0.05,CAMKII
CAMKII_120418_31_B_POS13,WhiteNoise,0.03,CAMKII
CAMKII_120418_33_B_POS14,WhiteNoise,0.14,CAMKII
CAMKII_120418_33_C_POS15,WhiteNoise,0.08,CAMKII
CAMKII_120418_35_B_POS16,WhiteNoise,NA,CAMKII
CAMKII_120418_37_B_POS17,WhiteNoise,0.21,CAMKII
CAMKII_120418_39_B_POS18,WhiteNoise,0.12,CAMKII
CAMKII_120418_61_A_POS19,WhiteNoise,0.105,CAMKII
CAMKII_120418_63_A_POS20,WhiteNoise,0.025,CAMKII
CAMKII_120418_66_A_POS21,WhiteNoise,0.065,CAMKII
CAMKII_120418_66_C_POS22,WhiteNoise,NA,CAMKII
GAD_060217_17_A_POS1,WhiteNoise,0.02,GAD
GAD_060217_26_A_POS2,WhiteNoise,0.05,GAD
GAD_060217_26_D_POS3,WhiteNoise,NA,GAD
GAD_071717_11_A_POS5,WhiteNoise,0.02,GAD
GAD_071717_14_D_POS6,WhiteNoise,NA,GAD
GAD_071717_20_A_POS7,WhiteNoise,0.065,GAD
GAD_071717_24_B_POS8,WhiteNoise,0.125,GAD
GAD_071717_8_E_POS4,WhiteNoise,0.02,GAD
GAD_072417_43_A_POS13,WhiteNoise,0.08,GAD
GAD_072417_43_B_POS14,WhiteNoise,0.33,GAD
GAD_072417_45_B_POS15,WhiteNoise,0.015,GAD
GAD_072417_47_C_POS9,WhiteNoise,0.05,GAD
GAD_072417_47_D_POS10,WhiteNoise,0.035,GAD
GAD_072417_49_D_POS16,WhiteNoise,0.02,GAD
GAD_072417_51_F_POS11,WhiteNoise,0.01,GAD
GAD_072417_53_A_POS12,WhiteNoise,0.015,GAD
