Date,File,CAMKIIa+,GAD1+,Colabel
53119,VC2_1a.7_1,1,2,0
53119,VC2_1a.7_2,1,1,0
53119,VC2_1a.7_3,1,1,1
53119,VC2_1a.7_4,2,0,0
53119,VC2_1b.3_1,1,0,0
53119,VC2_1b.3_2,4,0,0
53119,VC2_1b.3_3,6,0,0
53119,VC2_1b.3_4,6,0,0
53119,VC2_1b.3_5,3,0,0
53119,VC2_1b.3_6,2,0,0
53119,VC2_1b.3_7,6,0,0
53119,VC2_1b.3_8,3,0,0
53119,VC2_3b.1_1,7,1,0
53119,VC2_3b.1_2,2,3,0
60619,VC2_5b.3_1,2,0,0
60619,VC2_5b.3_2,3,1,0
60619,VC2_7b.4_1,5,1,0
60619,VC2_7b.4_2,7,1,0
60619,VC2_7b.4_3,7,0,0
60619,VC2_7b.7_1,3,1,0
60619,VC2_7b.7_2,1,1,0
60619,VC2_7b.7_3,3,0,0
60619,VC2_7b.7_4,1,0,0
61119,VC2_1b.1_1,6,1,0
61119,VC2_1b.1_2,0,2,0
61119,VC2_1b.7_1,2,0,0
61119,VC2_1b.7_2,1,0,0
61119,VC2_1b.7_3,1,0,0
61119,VC2_3b.3_1,1,1,0
61119,VC2_3b.3_2,1,1,0
61119,VC2_3b.3_3,2,0,0
61119,VC2_3b.3_4,3,0,0
61119,VC2_3b.3_5,4,3,0
61119,VC2_5b.4_1,1,0,0
61119,VC2_5b.4_2,3,0,0
